category,ordered(crossed out),name,total_price,unit_price,link,orders,per_order,dimensions,note
MOTOR/ENGINE,False,Aluminum Shell,251.79 ,$83.93 per piece,https://www.onlinemetals.com/en/buy/aluminum/4-nom-schedule-40-aluminum-pipe-6061-t6-extruded/pid/1227?search=aluminum%206601-t6, 2   \Possibly Lathe  ,NA,NA,"     (Custom cut to 13.25in) 		  ,      Shell for entire motor  "
MOTOR/ENGINE,True,Forward Closure and Nozzle Screws,11.41,NA,https://www.mcmaster.com/91771A827/, 1  , 100 screws  ,NA,     Bolting the forward closure and nozzle to the shell  
MOTOR/ENGINE,True,Bolt Tap,6.24,NA,https://www.mcmaster.com/2522A759/, 1  ,NA,NA,     Creating holes/threads to screw bolts into  
MOTOR/ENGINE,True,Ethernet Cable,9.99,NA,https://www.amazon.com/Cat-Ethernet-Cable-White-Connectors/dp/B00WD017GQ/ref=sr_1_5?sr=8-5, 1  , 50ft  ,NA,     Contains base wires for ignition system  
MOTOR/ENGINE,True,Graphite Block,108.00 ,$36,https://www.amazon.com/OTOOLWORLD-Graphite-Milling-Surface-20x20x20MM/dp/B0D7HZKK6G/ref=sr_1_97_sspa?dib=eyJ2IjoiMSJ9.BeZY3Of-8SQa8ENQ4Fm1h95fZERk7pJL5-ug89Lg8V2ynGHhZxWU2Nfq8bNjJ99_Yjrhm7td_xiOLe0JVPs3zAsi9hQSwbRrrNCYqWAJiEilFZmnNvvl5WeyIqvG_GH-_dNEeDi_6pneBXvGcb0nqn7-x5DoQJpLPOzWuijaGvPi6Il0lfkToD6a48msq9fjr1hnk62P0rW6ewqX0BARWW9Y05RY0bBLAWlIh2a-kB0vmKuYxhjvdJLISGPkckqrJLh5A6Wz8pCEb6XN9FaqrH8DtPm6EaSQ6KQqC8-22bo.e21lN4F7MK17PAm6CcR1qjRMvV6R_dqgfTBjZSPzApE&dib_tag=se&keywords=graphite%2Bblock&qid=1741800144&sr=8-97-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&th=1, 3  \Bandsaw/Lathe  ,NA,NA,"     80mm   ,      Will be machined on a lathe for use as nozzle throat  "
MOTOR/ENGINE,False,Potassium Nitrate,19.49,NA,https://dudadiesel.com/search.php?query=Potassium+nitrate, 2  ,NA,NA,"     Per\_order: 10lb  ,      Propellant oxidizer responsible for \~65% of propellant mass  "
MOTOR/ENGINE,True,Sorbitol,41.98 ,$20.99 per,https://www.amazon.com/Sorbitol-Calorie-Sweetener-Sugar-Substitute-Thickening/dp/B08SSVMQGJ/ref=sr_1_1?sr=8-1, 2  ,  32 oz  ,NA,     Propellant fuel responsible for \~35% of propellant mass  
MOTOR/ENGINE,True,Phenolic Nozzle Block,94.02 ,$31.34 per,https://www.interstateplastics.com/Phenolic-Natural-Le-Sheet-PHENM%7E%7ESH.php?sku=PHENM++SH&vid=20250306060236-4p-C202503072355-54&dim2=4&dim3=4&thickness=2.500&qty=3, 3  \Bandsaw/Lathe  ,NA,  4’’ x 4” x 2.5”  ,     Thermal insulate for nozzle & part of converging angle  
MOTOR/ENGINE,True,Phenolic Sheet Forward Closure,24.03 ,$8.01 per ,https://www.interstateplastics.com/Phenolic-Natural-Le-Sheet-PHENM%7E%7ESH.php?sku=PHENM++SH&vid=20250306060236-4p-C202503072355-54&dim2=4.25&dim3=4.25&thickness=0.250&qty=3&recalculate.x=0&recalculate.y=0, 3   \Bandsaw/Lathe  ,NA, 4.25”x4.25”x0.250”  ,     Thermal insulate for forward closure  
MOTOR/ENGINE,True,Nichrome Wire for Ignition System,6.49,NA,https://www.amazon.com/Nichrome-80-50-0-25mm-0-010in-Master/dp/B0CP9VT8QR/ref=sr_1_4?s=industrial&sr=1-4, 1  ,NA,NA,     Responsible for heating up wires resulting in ignition  
